organism,strain,parameter,unit,direction,low_threshold,low_state,optimal_low,optimal_high,normal_state,high_threshold,high_state,gem_reaction,gem_model,reaction_type,notes,source_type,citation,confidence,resolution_note
BHK-21,(base),CO2,%,byproduct,4.0,low_metabolism,4.0,10.0,optimal,15.0,hypercapnia,CS,iBHK,metabolic,low_state=low_metabolism; normal_state=optimal; high_state=hypercapnia; direction=byproduct; unit=%,domain_knowledge,"Extrapolated from mammalian; CAVEAT: process-dependent, validate on-site",MEDIUM,"CO2 thresholds are CER-derived estimates. Absolute values depend on bioreactor headspace volume, sparge rate, and off-gas analyzer calibration. Use as relative trend indicator, not absolute setpoint. Validate against site-specific off-gas baseline."
BHK-21,(base),DO,%,substrate,20.0,hypoxic,20.0,40.0,optimal,80.0,excess,COXE,iBHK,metabolic,low_state=hypoxic; normal_state=optimal; high_state=excess; direction=substrate; unit=%,domain_knowledge,Extrapolated from mammalian; BHK-specific DO limited,MEDIUM,BHK-21 DO thresholds inherited from mammalian defaults. BHK-21 oxygen demand similar to CHO. Microcarrier cultures may have different DO gradients than suspension; validate for your format.
BHK-21,(base),O2,%,substrate,15.0,oxygen_depleted,15.0,18.0,balanced,21.0,low_demand,COXE,iBHK,metabolic,low_state=oxygen_depleted; normal_state=balanced; high_state=low_demand; direction=substrate; unit=%,domain_knowledge,"Extrapolated from mammalian off-gas; CAVEAT: assumes air inlet, validate analyzer calibration",MEDIUM,"O2 off-gas thresholds depend on inlet composition (air vs enriched O2), sparge rate, headspace pressure, and analyzer placement. Values assume standard air inlet (21% O2). Use OUR/CER ratio (RQ) for more reliable metabolic state assessment than absolute off-gas %."
BHK-21,(base),VCD,e6/mL,output,3.0,slow_growth,3.0,10.0,exponential,20.0,peak_density,BIOMASS_bhk,iBHK,custom_exchange,low_state=slow_growth; normal_state=exponential; high_state=peak_density; direction=output; unit=e6/mL,literature,Merten et al. 1994 Cytotechnology; Telling & Elsworth 1965,MEDIUM,
BHK-21,(base),agitation,rpm,control,60.0,poor_mixing,60.0,150.0,optimal,250.0,shear_risk,kLa,iBHK,control_placeholder,low_state=poor_mixing; normal_state=optimal; high_state=shear_risk; direction=control; unit=rpm,literature,Croughan et al. 1987 Biotechnol Bioeng (microcarrier shear),MEDIUM,
BHK-21,(base),ammonia,mM,byproduct,2.0,optimal,2.0,6.0,moderate,8.0,toxic,GLNS,iBHK,metabolic,low_state=optimal; normal_state=moderate; high_state=toxic; direction=byproduct; unit=mM,domain_knowledge,BHK ammonia thresholds poorly characterized,MEDIUM,BHK-21 ammonia thresholds poorly characterized in open literature. Normal threshold widened from 5.0 to 6.0 mM (conservative). BHK-21 used for coagulation factors where PTM sensitivity matters; validate ammonia impact on your specific product quality attributes.
BHK-21,(base),glucose,g/L,substrate,1.5,flux_limited,1.5,4.0,optimal,7.0,overflow_risk,HEX1,iBHK,metabolic,low_state=flux_limited; normal_state=optimal; high_state=overflow_risk; direction=substrate; unit=g/L,literature,Merten et al. 1994 Cytotechnology,MEDIUM,
BHK-21,(base),lactate,g/L,byproduct,0.5,optimal,0.5,2.5,moderate,5.0,critical,LDH_L,iBHK,metabolic,low_state=optimal; normal_state=moderate; high_state=critical; direction=byproduct; unit=g/L,literature,Merten et al. 1994 Cytotechnology,MEDIUM,
BHK-21,(base),pH,,indicator,6.8,acidosis,6.8,7.2,optimal,7.5,alkalosis,ATPM,iBHK,metabolic,low_state=acidosis; normal_state=optimal; high_state=alkalosis; direction=indicator,literature,Merten et al. 1994 Cytotechnology,MEDIUM,
BHK-21,(base),temperature,C,control,33.0,cold_shift,33.0,37.0,optimal,38.5,heat_stress,TEMP_SHIFT,iBHK,control_placeholder,low_state=cold_shift; normal_state=optimal; high_state=heat_stress; direction=control; unit=C,literature,Telling & Elsworth 1965 Biotechnol Bioeng,MEDIUM,
BHK-21,(base),titer,g/L,product,0.3,low_production,0.3,1.5,on_track,3.5,high_producing,PRODUCT_expression,iBHK,custom_exchange,low_state=low_production; normal_state=on_track; high_state=high_producing; direction=product; unit=g/L,domain_knowledge,Vaccine/coag factor titre; product-specific units,MEDIUM,"BHK-21 titer thresholds are product-specific. Viral vaccine titres measured in TCID50 or PFU, not g/L. Coagulation factors (rFVIII) measured in IU/mL. Current g/L thresholds apply to total protein; replace with product-specific units for your application."
BHK-21,(base),viability,%,indicator,60.0,critical,60.0,80.0,healthy,95.0,excellent,APOPTOSIS,iBHK,biological_state,low_state=critical; normal_state=healthy; high_state=excellent; direction=indicator; unit=%,literature,Merten et al. 1994 Cytotechnology (CPE context),MEDIUM,
CHO,(base),CO2,%,byproduct,5.0,low_metabolism,5.0,10.0,optimal,15.0,hypercapnia,CS,iCHO2291,metabolic,low_state=low_metabolism; normal_state=optimal; high_state=hypercapnia; direction=byproduct; unit=%,literature,Gray et al. 1996 Cytotechnology; Goudar et al. 2006 Biotechnol Prog,MEDIUM,
CHO,(base),DO,%,substrate,20.0,hypoxic,20.0,40.0,optimal,80.0,excess,COXE,iCHO2291,metabolic,low_state=hypoxic; normal_state=optimal; high_state=excess; direction=substrate; unit=%,literature,Restelli et al. 2006 Biotechnol Bioeng,HIGH,
CHO,(base),O2,%,substrate,15.0,oxygen_depleted,15.0,18.0,balanced,21.0,low_demand,COXE,iCHO2291,metabolic,low_state=oxygen_depleted; normal_state=balanced; high_state=low_demand; direction=substrate; unit=%,literature,Restelli et al. 2006 Biotechnol Bioeng (off-gas analysis),MEDIUM,
CHO,(base),VCD,e6/mL,output,5.0,slow_growth,5.0,15.0,exponential,30.0,peak_density,BIOMASS_cho,iCHO2291,custom_exchange,low_state=slow_growth; normal_state=exponential; high_state=peak_density; direction=output; unit=e6/mL,literature,Huang et al. 2010 Biotechnol Bioeng,HIGH,
CHO,(base),agitation,rpm,control,100.0,poor_mixing,100.0,200.0,optimal,350.0,shear_risk,kLa,iCHO2291,control_placeholder,low_state=poor_mixing; normal_state=optimal; high_state=shear_risk; direction=control; unit=rpm,literature,Nienow et al. 2013 Biochem Eng J,MEDIUM,
CHO,(base),ammonia,mM,byproduct,2.0,optimal,2.0,5.0,moderate,8.0,toxic,GLNS,iCHO2291,metabolic,low_state=optimal; normal_state=moderate; high_state=toxic; direction=byproduct; unit=mM,literature,Yang & Butler 2000 Biotechnol Bioeng; Chen & Bhargava 2011 Biotechnol Adv,HIGH,
CHO,(base),glucose,g/L,substrate,2.0,flux_limited,2.0,4.0,optimal,6.0,overflow_risk,HEX1,iCHO2291,metabolic,low_state=flux_limited; normal_state=optimal; high_state=overflow_risk; direction=substrate; unit=g/L,literature,Altamirano et al. 2006 J Biotechnol; Glacken et al. 1988 Biotechnol Bioeng,HIGH,
CHO,(base),lactate,g/L,byproduct,0.5,optimal,0.5,2.0,moderate,4.0,critical,LDH_L,iCHO2291,metabolic,low_state=optimal; normal_state=moderate; high_state=critical; direction=byproduct; unit=g/L,literature,Zagari et al. 2013 New Biotechnol; Luo et al. 2012 Biotechnol Bioeng,HIGH,
CHO,(base),pH,,indicator,6.9,acidosis,6.9,7.2,optimal,7.4,alkalosis,ATPM,iCHO2291,metabolic,low_state=acidosis; normal_state=optimal; high_state=alkalosis; direction=indicator,literature,Li et al. 2010 Biotechnol Bioeng; Trummer et al. 2006 Biotechnol Bioeng,HIGH,
CHO,(base),temperature,C,control,35.0,cold_shift,35.0,37.0,optimal,38.0,heat_stress,TEMP_SHIFT,iCHO2291,control_placeholder,low_state=cold_shift; normal_state=optimal; high_state=heat_stress; direction=control; unit=C,literature,Kaufmann et al. 1999 Biotechnol Bioeng; Yoon et al. 2003 Biotechnol Bioeng,HIGH,
CHO,(base),titer,g/L,product,0.5,low_production,0.5,2.0,on_track,4.0,high_producing,IgG_production,iCHO2291,custom_exchange,low_state=low_production; normal_state=on_track; high_state=high_producing; direction=product; unit=g/L,domain_knowledge,Process-specific; typical CHO mAb range 1-10 g/L,MEDIUM,
CHO,(base),viability,%,indicator,75.0,critical,75.0,90.0,healthy,95.0,excellent,APOPTOSIS,iCHO2291,biological_state,low_state=critical; normal_state=healthy; high_state=excellent; direction=indicator; unit=%,regulatory,ICH Q5D; industry standard fed-batch harvest criteria,HIGH,
CHO-S,(base),CO2,%,byproduct,4.0,low_metabolism,4.0,12.0,optimal,18.0,hypercapnia,CS,iCHO2291,metabolic,low_state=low_metabolism; normal_state=optimal; high_state=hypercapnia; direction=byproduct; unit=%,domain_knowledge,"High-density perfusion CER; limited published data; CAVEAT: process-dependent, validate on-site",MEDIUM,"CO2 thresholds are CER-derived estimates. Absolute values depend on bioreactor headspace volume, sparge rate, and off-gas analyzer calibration. Use as relative trend indicator, not absolute setpoint. Validate against site-specific off-gas baseline."
CHO-S,(base),DO,%,substrate,25.0,hypoxic,25.0,45.0,optimal,80.0,excess,COXE,iCHO2291,metabolic,low_state=hypoxic; normal_state=optimal; high_state=excess; direction=substrate; unit=%,literature,Clincke et al. 2013 Biotechnol Prog,HIGH,
CHO-S,(base),O2,%,substrate,13.0,oxygen_depleted,13.0,17.0,balanced,21.0,low_demand,COXE,iCHO2291,metabolic,low_state=oxygen_depleted; normal_state=balanced; high_state=low_demand; direction=substrate; unit=%,domain_knowledge,"High-density OUR from perfusion literature; CAVEAT: assumes air inlet, validate analyzer calibration",MEDIUM,"O2 off-gas thresholds depend on inlet composition (air vs enriched O2), sparge rate, headspace pressure, and analyzer placement. Values assume standard air inlet (21% O2). Use OUR/CER ratio (RQ) for more reliable metabolic state assessment than absolute off-gas %."
CHO-S,(base),VCD,e6/mL,output,20.0,below_setpoint,20.0,60.0,steady_state,100.0,ultra_high_density,BIOMASS_cho,iCHO2291,custom_exchange,low_state=below_setpoint; normal_state=steady_state; high_state=ultra_high_density; direction=output; unit=e6/mL,literature,Clincke et al. 2013 Biotechnol Prog (60-120e6/mL perfusion),HIGH,
CHO-S,(base),agitation,rpm,control,80.0,poor_mixing,80.0,180.0,optimal,300.0,shear_risk,kLa,iCHO2291,control_placeholder,low_state=poor_mixing; normal_state=optimal; high_state=shear_risk; direction=control; unit=rpm,literature,ATF/TFF shear considerations; Clincke et al. 2013,MEDIUM,
CHO-S,(base),ammonia,mM,byproduct,1.5,optimal,1.5,4.0,moderate,7.0,toxic,GLNS,iCHO2291,metabolic,low_state=optimal; normal_state=moderate; high_state=toxic; direction=byproduct; unit=mM,literature,Bielser et al. 2018 Biotechnol Adv,MEDIUM,
CHO-S,(base),glucose,g/L,substrate,1.5,flux_limited,1.5,3.5,optimal,5.0,overflow_risk,HEX1,iCHO2291,metabolic,low_state=flux_limited; normal_state=optimal; high_state=overflow_risk; direction=substrate; unit=g/L,literature,Clincke et al. 2013 Biotechnol Prog; Bielser et al. 2018 Biotechnol Adv,HIGH,
CHO-S,(base),lactate,g/L,byproduct,0.3,optimal,0.3,1.5,moderate,3.0,critical,LDH_L,iCHO2291,metabolic,low_state=optimal; normal_state=moderate; high_state=critical; direction=byproduct; unit=g/L,literature,Clincke et al. 2013 Biotechnol Prog,HIGH,
CHO-S,(base),pH,,indicator,6.85,acidosis,6.85,7.15,optimal,7.35,alkalosis,ATPM,iCHO2291,metabolic,low_state=acidosis; normal_state=optimal; high_state=alkalosis; direction=indicator,literature,Pohlscheidt et al. 2013 Biotechnol Prog,HIGH,
CHO-S,(base),temperature,C,control,34.0,cold_shift,34.0,36.5,optimal,37.5,heat_stress,TEMP_SHIFT,iCHO2291,control_placeholder,low_state=cold_shift; normal_state=optimal; high_state=heat_stress; direction=control; unit=C,literature,Perfusion temp shift common; Clincke et al. 2013,MEDIUM,
CHO-S,(base),titer,g/L,product,0.3,low_production,0.3,1.0,on_track,2.5,high_producing,IgG_production,iCHO2291,custom_exchange,low_state=low_production; normal_state=on_track; high_state=high_producing; direction=product; unit=g/L,domain_knowledge,Perfusion permeate titre typically 0.3-2.5 g/L,MEDIUM,
CHO-S,(base),viability,%,indicator,75.0,critical,75.0,88.0,healthy,96.0,excellent,APOPTOSIS,iCHO2291,biological_state,low_state=critical; normal_state=healthy; high_state=excellent; direction=indicator; unit=%,literature,Pohlscheidt et al. 2013 Biotechnol Prog,MEDIUM,
E. coli,(base),CO2,%,byproduct,2.0,low_respiration,2.0,8.0,optimal,15.0,high_respiration,PDH,iML1515,metabolic,low_state=low_respiration; normal_state=optimal; high_state=high_respiration; direction=byproduct; unit=%,domain_knowledge,"CER monitoring in HCDC; limited standardized thresholds; CAVEAT: process-dependent, validate on-site",MEDIUM,"CO2 thresholds are CER-derived estimates. Absolute values depend on bioreactor headspace volume, sparge rate, and off-gas analyzer calibration. Use as relative trend indicator, not absolute setpoint. Validate against site-specific off-gas baseline."
E. coli,(base),DO,%,substrate,10.0,microaerobic,10.0,30.0,optimal,80.0,excess,CYTBO3_4pp,iML1515,metabolic,low_state=microaerobic; normal_state=optimal; high_state=excess; direction=substrate; unit=%,literature,Shiloach & Fass 2005 Biotechnol Adv; Lara et al. 2006 Mol Biotechnol,HIGH,
E. coli,(base),O2,%,substrate,14.0,high_OUR,14.0,18.0,balanced,21.0,low_demand,CYTBO3_4pp,iML1515,metabolic,low_state=high_OUR; normal_state=balanced; high_state=low_demand; direction=substrate; unit=%,literature,Shiloach & Fass 2005 (OUR/CER monitoring),MEDIUM,
E. coli,(base),OD600,OD,output,5.0,lag_or_slow,5.0,30.0,exponential,80.0,high_density,BIOMASS_Ec_iML1515_core_75p37M,iML1515,custom_exchange,low_state=lag_or_slow; normal_state=exponential; high_state=high_density; direction=output; unit=OD,literature,Korz et al. 1995 J Biotechnol; Riesenberg & Guthke 1999,HIGH,
E. coli,(base),acetate,g/L,byproduct,0.5,optimal,0.5,2.0,moderate,5.0,inhibitory,PTAr,iML1515,metabolic,low_state=optimal; normal_state=moderate; high_state=inhibitory; direction=byproduct; unit=g/L,literature,Luli & Strohl 1990 Appl Environ Microbiol; Eiteman & Altman 2006,HIGH,
E. coli,(base),agitation,rpm,control,200.0,poor_mixing,200.0,500.0,optimal,800.0,high_shear,kLa,iML1515,control_placeholder,low_state=poor_mixing; normal_state=optimal; high_state=high_shear; direction=control; unit=rpm,literature,Shiloach & Fass 2005; Garcia-Ochoa & Gomez 2009 Biotechnol Adv,MEDIUM,
E. coli,(base),ammonia,mM,substrate_and_byproduct,1.0,nitrogen_limited,1.0,10.0,optimal,30.0,excess,GLNS,iML1515,metabolic,low_state=nitrogen_limited; normal_state=optimal; high_state=excess; direction=substrate_and_byproduct; unit=mM,literature,Riesenberg et al. 1991 J Biotechnol; Shiloach & Fass 2005,HIGH,
E. coli,(base),glucose,g/L,substrate,1.0,carbon_starved,1.0,5.0,optimal,10.0,overflow_risk,GLCptspp,iML1515,metabolic,low_state=carbon_starved; normal_state=optimal; high_state=overflow_risk; direction=substrate; unit=g/L,literature,Lee 1996 Trends Biotechnol; Eiteman & Altman 2006 Trends Biotechnol,HIGH,
E. coli,(base),pH,,indicator,6.5,acidosis,6.5,7.0,optimal,7.5,alkalosis,EX_h_e,iML1515,metabolic,low_state=acidosis; normal_state=optimal; high_state=alkalosis; direction=indicator,literature,Shiloach & Fass 2005 Biotechnol Adv,HIGH,
E. coli,(base),temperature,C,control,30.0,reduced_temp,30.0,37.0,optimal,42.0,heat_shock,TEMP_CONTROL,iML1515,control_placeholder,low_state=reduced_temp; normal_state=optimal; high_state=heat_shock; direction=control; unit=C,textbook,Baneyx 1999 Curr Opin Biotechnol; Neidhardt et al. Physiology of the Bacterial Cell,HIGH,
E. coli,(base),titer,g/L,product,0.2,low_expression,0.2,1.0,on_track,5.0,high_expression,RECPROT_expression,iML1515,custom_exchange,low_state=low_expression; normal_state=on_track; high_state=high_expression; direction=product; unit=g/L,literature,Yee & Blanch 1992 Biotechnol Bioeng; strain/expression dependent,MEDIUM,
E. coli,(base),viability,%,indicator,55.0,lysis,55.0,80.0,moderate_stress,95.0,healthy,STRESS_RESPONSE,iML1515,biological_state,low_state=lysis; normal_state=moderate_stress; high_state=healthy; direction=indicator; unit=%,domain_knowledge,E. coli viability method-dependent (plate counts vs flow),MEDIUM,"Viability threshold widened conservatively: low 60.0% -> 55.0%. Viability measurement varies by method (trypan blue, flow cytometry, LDH release). Recommend validating against site-specific assay and harvest criteria."
HEK293,(base),CO2,%,byproduct,4.0,low_metabolism,4.0,10.0,optimal,15.0,hypercapnia,CS,Recon3D,metabolic,low_state=low_metabolism; normal_state=optimal; high_state=hypercapnia; direction=byproduct; unit=%,domain_knowledge,"Extrapolated from mammalian; HEK293-specific CER not published; CAVEAT: process-dependent, validate on-site",MEDIUM,"CO2 thresholds are CER-derived estimates. Absolute values depend on bioreactor headspace volume, sparge rate, and off-gas analyzer calibration. Use as relative trend indicator, not absolute setpoint. Validate against site-specific off-gas baseline."
HEK293,(base),DO,%,substrate,20.0,hypoxic,20.0,40.0,optimal,80.0,excess,COXE,Recon3D,metabolic,low_state=hypoxic; normal_state=optimal; high_state=excess; direction=substrate; unit=%,literature,Emmerling et al. 2016 Hum Gene Ther Methods,MEDIUM,
HEK293,(base),O2,%,substrate,15.0,oxygen_depleted,15.0,18.0,balanced,21.0,low_demand,COXE,Recon3D,metabolic,low_state=oxygen_depleted; normal_state=balanced; high_state=low_demand; direction=substrate; unit=%,domain_knowledge,"Extrapolated from mammalian off-gas; limited HEK293 data; CAVEAT: assumes air inlet, validate analyzer calibration",MEDIUM,"O2 off-gas thresholds depend on inlet composition (air vs enriched O2), sparge rate, headspace pressure, and analyzer placement. Values assume standard air inlet (21% O2). Use OUR/CER ratio (RQ) for more reliable metabolic state assessment than absolute off-gas %."
HEK293,(base),VCD,e6/mL,output,1.0,slow_growth,1.0,3.0,transfection_ready,6.0,overgrown,BIOMASS_hek293,Recon3D,custom_exchange,low_state=slow_growth; normal_state=transfection_ready; high_state=overgrown; direction=output; unit=e6/mL,literature,Grieger et al. 2016 Nat Protoc (transfection density 1.5-2.5e6),HIGH,
HEK293,(base),agitation,rpm,control,60.0,poor_mixing,60.0,130.0,optimal,200.0,shear_risk,kLa,Recon3D,control_placeholder,low_state=poor_mixing; normal_state=optimal; high_state=shear_risk; direction=control; unit=rpm,literature,Grieger et al. 2016 Nat Protoc; HEK293 shear sensitivity,MEDIUM,
HEK293,(base),ammonia,mM,byproduct,2.0,optimal,2.0,5.0,moderate,8.0,toxic,GLNS,Recon3D,metabolic,low_state=optimal; normal_state=moderate; high_state=toxic; direction=byproduct; unit=mM,domain_knowledge,Extrapolated from mammalian; HEK293-specific data sparse,MEDIUM,Threshold retained at current value with conservative margin. Limited organism-specific published data; based on domain expertise and related organism extrapolation. Recommend site-specific validation.
HEK293,(base),glucose,g/L,substrate,1.5,flux_limited,1.5,3.5,optimal,6.0,overflow_risk,HEX1,Recon3D,metabolic,low_state=flux_limited; normal_state=optimal; high_state=overflow_risk; direction=substrate; unit=g/L,literature,Grieger et al. 2016 Nat Protoc; Henry et al. 2011 Biotechnol Bioeng,MEDIUM,
HEK293,(base),lactate,g/L,byproduct,0.5,optimal,0.5,2.5,moderate,5.0,critical,LDH_L,Recon3D,metabolic,low_state=optimal; normal_state=moderate; high_state=critical; direction=byproduct; unit=g/L,literature,Cervera et al. 2013 J Biotechnol; Blessing et al. 2019 Mol Ther,MEDIUM,
HEK293,(base),pH,,indicator,6.9,acidosis,6.9,7.2,optimal,7.5,alkalosis,ATPM,Recon3D,metabolic,low_state=acidosis; normal_state=optimal; high_state=alkalosis; direction=indicator,literature,Grieger et al. 2016 Nat Protoc,HIGH,
HEK293,(base),temperature,C,control,35.0,cold_shift,35.0,37.0,optimal,38.5,heat_stress,TEMP_SHIFT,Recon3D,control_placeholder,low_state=cold_shift; normal_state=optimal; high_state=heat_stress; direction=control; unit=C,literature,Grieger et al. 2016 Nat Protoc,HIGH,
HEK293,(base),titer,vg/mL,product,10000000000.0,low_production,10000000000.0,100000000000.0,on_track,1000000000000.0,high_producing,AAV_assembly,Recon3D,custom_exchange,low_state=low_production; normal_state=on_track; high_state=high_producing; direction=product; unit=vg/mL,literature,Grieger et al. 2016 Nat Protoc (AAV vg/mL); Blessing et al. 2019,HIGH,
HEK293,(base),viability,%,indicator,65.0,critical,65.0,80.0,healthy,95.0,excellent,APOPTOSIS,Recon3D,biological_state,low_state=critical; normal_state=healthy; high_state=excellent; direction=indicator; unit=%,literature,Naso et al. 2017 BioDrugs; post-transfection drop expected,HIGH,
NS0,(base),CO2,%,byproduct,4.0,low_metabolism,4.0,10.0,optimal,15.0,hypercapnia,CS,iNS0_1091,metabolic,low_state=low_metabolism; normal_state=optimal; high_state=hypercapnia; direction=byproduct; unit=%,domain_knowledge,"Extrapolated from mammalian; NS0-specific CER not published; CAVEAT: process-dependent, validate on-site",MEDIUM,"CO2 thresholds are CER-derived estimates. Absolute values depend on bioreactor headspace volume, sparge rate, and off-gas analyzer calibration. Use as relative trend indicator, not absolute setpoint. Validate against site-specific off-gas baseline."
NS0,(base),DO,%,substrate,20.0,hypoxic,20.0,40.0,optimal,80.0,excess,COXE,iNS0_1091,metabolic,low_state=hypoxic; normal_state=optimal; high_state=excess; direction=substrate; unit=%,literature,Mostafa & Gu 2003 Biotechnol Prog,MEDIUM,
NS0,(base),O2,%,substrate,15.0,oxygen_depleted,15.0,18.0,balanced,21.0,low_demand,COXE,iNS0_1091,metabolic,low_state=oxygen_depleted; normal_state=balanced; high_state=low_demand; direction=substrate; unit=%,domain_knowledge,"Extrapolated from mammalian off-gas; CAVEAT: assumes air inlet, validate analyzer calibration",MEDIUM,"O2 off-gas thresholds depend on inlet composition (air vs enriched O2), sparge rate, headspace pressure, and analyzer placement. Values assume standard air inlet (21% O2). Use OUR/CER ratio (RQ) for more reliable metabolic state assessment than absolute off-gas %."
NS0,(base),VCD,e6/mL,output,3.0,slow_growth,3.0,8.0,exponential,15.0,peak_density,BIOMASS_ns0,iNS0_1091,custom_exchange,low_state=slow_growth; normal_state=exponential; high_state=peak_density; direction=output; unit=e6/mL,literature,Mostafa & Gu 2003 Biotechnol Prog,MEDIUM,
NS0,(base),agitation,rpm,control,80.0,poor_mixing,80.0,180.0,optimal,300.0,shear_risk,kLa,iNS0_1091,control_placeholder,low_state=poor_mixing; normal_state=optimal; high_state=shear_risk; direction=control; unit=rpm,domain_knowledge,NS0 moderate shear sensitivity; limited published data,MEDIUM,NS0 agitation thresholds estimated from general mammalian suspension culture. NS0 moderately shear-sensitive (between CHO and hybridoma). Scale-dependent: validate tip speed and power/volume at your scale.
NS0,(base),ammonia,mM,byproduct,2.0,optimal,2.0,5.0,moderate,7.0,toxic,GLNS_absent,iNS0_1091,metabolic,low_state=optimal; normal_state=moderate; high_state=toxic; direction=byproduct; unit=mM,literature,Schneider et al. 1996 J Biotechnol; Yang & Butler 2000 (GS-deficient),HIGH,
NS0,(base),glucose,g/L,substrate,1.5,flux_limited,1.5,4.0,optimal,7.0,overflow_risk,HEX1,iNS0_1091,metabolic,low_state=flux_limited; normal_state=optimal; high_state=overflow_risk; direction=substrate; unit=g/L,literature,Mostafa & Gu 2003 Biotechnol Prog,MEDIUM,
NS0,(base),lactate,g/L,byproduct,0.8,optimal,0.8,3.0,moderate,5.0,critical,LDH_L,iNS0_1091,metabolic,low_state=optimal; normal_state=moderate; high_state=critical; direction=byproduct; unit=g/L,literature,Seth et al. 2006 Biotechnol Bioeng; Mostafa & Gu 2003,MEDIUM,
